yearID,name,wins_over_losses,runs_over_league_avg,BA,SLG,OBP,OPS
1955,Kansas City Athletics,0.6923,0.9222,0.2615,0.3822,0.320455329,0.702648393
1955,Milwaukee Braves,1.2319,1.074,0.2609,0.4268,0.325376232,0.752133859
1955,New York Giants,1.0811,1.0147,0.2604,0.4019,0.323941227,0.725794479
1955,New York Yankees,1.6552,1.1015,0.26,0.4177,0.33812825,0.755876748
1955,Philadelphia Phillies,1,0.9757,0.2553,0.3947,0.339832869,0.734569711
1955,Pittsburgh Pirates,0.6383,0.8095,0.244,0.3605,0.307051736,0.667577543
1955,St. Louis Cardinals,0.7907,0.9453,0.2611,0.3995,0.320230608,0.719774854
1955,Washington Senators,0.5248,0.8644,0.2483,0.3506,0.319542254,0.670184027
1956,Baltimore Orioles,0.8118,0.8282,0.244,0.3499,0.319299487,0.669201255
1956,Boston Red Sox,1.2,1.1314,0.2754,0.419,0.362080316,0.78103713
1956,Brooklyn Dodgers,1.5246,1.0443,0.2579,0.419,0.341743518,0.760731356
1956,Chicago White Sox,1.2319,1.1256,0.2671,0.3973,0.343945809,0.741221631
1956,Chicago Cubs,0.6383,0.8659,0.2435,0.3819,0.302663863,0.684603026
1956,Cincinnati Redlegs,1.4444,1.1241,0.2657,0.4411,0.332359512,0.773485953
1956,Cleveland Indians,1.3333,1.0327,0.244,0.3807,0.332303997,0.713034377
1956,Detroit Tigers,1.1389,1.1444,0.2785,0.42,0.355858855,0.775881226
1956,Kansas City Athletics,0.5098,0.8978,0.2521,0.3704,0.314679219,0.685113008
1956,Milwaukee Braves,1.4839,1.0284,0.2593,0.4227,0.322501317,0.745201528
1956,New York Giants,0.7701,0.7832,0.2443,0.3825,0.298640916,0.681107197
1956,New York Yankees,1.7018,1.243,0.2698,0.4341,0.345537371,0.779648816
1956,Philadelphia Phillies,0.8554,0.9689,0.2523,0.3807,0.327863189,0.708531905
1956,Pittsburgh Pirates,0.75,0.8529,0.2567,0.3798,0.307458958,0.687271254
1956,St. Louis Cardinals,0.9744,0.9834,0.2683,0.3992,0.330896106,0.730115146
1956,Washington Senators,0.6211,0.9457,0.2503,0.3768,0.33808554,0.714863702
1957,Baltimore Orioles,1,0.8981,0.2519,0.3526,0.317267684,0.66985127
1957,Boston Red Sox,1.1389,1.0846,0.262,0.4052,0.340179935,0.745344165
1957,Brooklyn Dodgers,1.2,1.038,0.2528,0.3873,0.323722376,0.710979148
1957,Chicago White Sox,1.4063,1.0636,0.26,0.3755,0.339437097,0.714935672
1957,Chicago Cubs,0.6739,0.9447,0.2444,0.3796,0.304116638,0.683703153
1957,Cincinnati Redlegs,1.0811,1.1237,0.2694,0.4324,0.336647009,0.769009228
1957,Cleveland Indians,0.987,1.0259,0.2522,0.3819,0.328878862,0.710816591
1957,Detroit Tigers,1.0263,0.9237,0.2573,0.3781,0.32125769,0.699342955
1957,Kansas City Athletics,0.6277,0.8469,0.2441,0.3936,0.293820022,0.687437043
1957,Milwaukee Braves,1.6102,1.1613,0.2691,0.4417,0.326068593,0.767805492
1957,New York Giants,0.8118,0.9673,0.2523,0.3926,0.310029346,0.702659349
1957,New York Yankees,1.75,1.0876,0.2679,0.4088,0.338419338,0.747260165
1957,Philadelphia Phillies,1,0.9372,0.2501,0.3745,0.319480519,0.694027361
1957,Pittsburgh Pirates,0.6739,0.8815,0.2679,0.3839,0.315270083,0.69920196
1957,St. Louis Cardinals,1.2985,1.1087,0.2736,0.4046,0.333612741,0.738218004
1957,Washington Senators,0.5556,0.9071,0.2435,0.3628,0.312782216,0.675619149
1958,Baltimore Orioles,0.9367,0.7881,0.2412,0.3502,0.30675724,0.656982244
1958,Boston Red Sox,1.0533,1.0543,0.2558,0.4003,0.336919399,0.737264358
1958,Chicago White Sox,1.1389,0.959,0.2568,0.3669,0.323565112,0.690492145
1958,Chicago Cubs,0.878,1.0724,0.2651,0.426,0.327042936,0.753021381
1958,Cincinnati Redlegs,0.9744,1.0512,0.2577,0.3888,0.330367836,0.71914083
1958,Cleveland Indians,1.0132,1.0497,0.2576,0.4028,0.322036874,0.724844026
1958,Detroit Tigers,1,0.9968,0.2665,0.3893,0.326498144,0.715793484
1958,Kansas City Athletics,0.9012,0.9711,0.2465,0.3815,0.306143882,0.687630291
1958,Los Angeles Dodgers,0.8554,1.0104,0.2507,0.4019,0.316160903,0.718055354
1958,Milwaukee Braves,1.4839,1.021,0.2656,0.4119,0.327196213,0.739062241
1958,New York Yankees,1.4839,1.148,0.2679,0.4156,0.335276968,0.750841758
1958,Philadelphia Phillies,0.8118,1.0043,0.2655,0.4001,0.336421833,0.736571003
1958,Pittsburgh Pirates,1.2,1.0013,0.2642,0.4103,0.315789474,0.726119186
1958,San Francisco Giants,1.0811,1.0996,0.2631,0.4218,0.329970935,0.751746038
1958,St. Louis Cardinals,0.878,0.9363,0.2609,0.3802,0.328956462,0.709165786
1958,Washington Senators,0.6559,0.8365,0.2405,0.3569,0.304810936,0.661676723
1959,Baltimore Orioles,0.925,0.8123,0.2381,0.3447,0.309192201,0.653854259
1959,Boston Red Sox,0.9494,1.0703,0.2555,0.3855,0.335156384,0.720610929
1959,Chicago White Sox,1.5667,0.9863,0.2501,0.364,0.324144972,0.688124583
1959,Chicago Cubs,0.925,0.9922,0.2494,0.3978,0.313945461,0.711792893
1959,Cincinnati Redlegs,0.925,1.1263,0.2738,0.4268,0.336443753,0.763259184
1959,Cleveland Indians,1.3692,1.0983,0.2629,0.4079,0.318650586,0.726555275
1959,Detroit Tigers,0.9744,1.0511,0.2583,0.3995,0.332585046,0.732124481
1959,Kansas City Athletics,0.75,1.004,0.2627,0.3896,0.324456049,0.714083708
1959,Los Angeles Dodgers,1.2941,1.0393,0.2575,0.3961,0.332198195,0.728260292
1959,Milwaukee Braves,1.2286,1.0674,0.2647,0.4167,0.32573179,0.742398456
1959,New York Yankees,1.0533,1.0128,0.2597,0.4016,0.317683345,0.719244973
1959,Philadelphia Phillies,0.7111,0.8831,0.2421,0.3617,0.309434635,0.671149256
1959,Pittsburgh Pirates,1.0263,0.9597,0.2634,0.3844,0.319394252,0.703823382
1959,San Francisco Giants,1.169,1.0393,0.2607,0.4141,0.321515468,0.73564158
1959,St. Louis Cardinals,0.8554,0.945,0.2693,0.4002,0.330403309,0.730629
1959,Washington Senators,0.6923,0.9126,0.2366,0.3792,0.307006597,0.686228906
1960,Baltimore Orioles,1.3692,1.0233,0.2528,0.3768,0.330038155,0.706827323
1960,Boston Red Sox,0.7303,0.9872,0.2606,0.3891,0.333448574,0.722518564
1960,Chicago White Sox,1.2985,1.1118,0.2701,0.3961,0.341959014,0.738029135
1960,Chicago Cubs,0.6383,0.9512,0.2435,0.3689,0.312221842,0.681078931
1960,Cincinnati Reds,0.7701,0.9602,0.2503,0.3884,0.316497156,0.704850341
1960,Cleveland Indians,0.9744,1.0008,0.2672,0.3878,0.323867596,0.711707475
1960,Detroit Tigers,0.8554,0.9497,0.2389,0.3747,0.3218568,0.69652039
1960,Kansas City Athletics,0.6042,0.9227,0.2493,0.3661,0.316431434,0.682485777
1960,Los Angeles Dodgers,1.1389,0.9932,0.255,0.3832,0.323488534,0.706691135
1960,Milwaukee Braves,1.3333,1.0863,0.2647,0.4174,0.324135522,0.741578045
1960,New York Yankees,1.7018,1.1193,0.2603,0.4255,0.328470911,0.753990759
1960,Philadelphia Phillies,0.6211,0.8192,0.2389,0.3513,0.299626135,0.650951342
